CountryCode,City,Rating
162,Makati City,4.8
162,Makati City,4.5
162,Mandaluyong City,4.4
162,Mandaluyong City,4.9
162,Mandaluyong City,4.8
162,Mandaluyong City,4.4
162,Pasay City,4
162,Pasay City,4.2
162,Pasay City,4.9
162,Pasig City,4.8
162,Pasig City,4.9
162,Pasig City,4.2
162,Quezon City,4.8
162,San Juan City,4.2
162,San Juan City,4.3
162,Santa Rosa,3.6
162,Santa Rosa,4
162,Tagaytay City,4.5
162,Taguig City,4.5
162,Taguig City,4.4
162,Taguig City,4.7
162,Taguig City,4.5
30,Brasalia,3
30,Brasalia,3.8
30,Brasalia,3.7
30,Brasalia,3.8
30,Brasalia,3.2
30,Brasalia,3.1
30,Brasalia,3.7
30,Brasalia,3.7
30,Brasalia,1
30,Brasalia,4.1
30,Brasalia,3.1
30,Brasalia,3.6
30,Brasalia,4.3
30,Brasalia,4.2
30,Brasalia,3.6
30,Brasalia,4
30,Brasalia,3.2
30,Brasalia,4.9
30,Brasalia,3.3
30,Brasalia,3.6
30,Rio de Janeiro,4
30,Rio de Janeiro,4.8
30,Rio de Janeiro,4.7
30,Rio de Janeiro,4.5
30,Rio de Janeiro,4.2
30,Rio de Janeiro,4.8
30,Rio de Janeiro,4.9
30,Rio de Janeiro,4.6
30,Rio de Janeiro,4.9
30,Rio de Janeiro,4.6
30,Rio de Janeiro,4.3
30,Rio de Janeiro,4
30,Rio de Janeiro,4.6
30,Rio de Janeiro,4.4
30,Rio de Janeiro,4.2
30,Rio de Janeiro,4.2
30,Rio de Janeiro,1
30,Rio de Janeiro,4.7
30,Rio de Janeiro,4.6
30,Rio de Janeiro,4.3
30,San Paulo,4.5
30,San Paulo,4.4
30,San Paulo,3.1
30,San Paulo,4.1
30,San Paulo,4.8
30,San Paulo,4.6
30,San Paulo,3.9
30,San Paulo,1
30,San Paulo,3.4
30,San Paulo,3.5
30,San Paulo,4.3
30,San Paulo,3.9
30,San Paulo,4.3
30,San Paulo,4.3
30,San Paulo,4.4
30,San Paulo,1
30,San Paulo,1
30,San Paulo,4.4
30,San Paulo,4.6
30,San Paulo,4.1
216,Albany,3.3
216,Albany,3.3
216,Albany,3.4
216,Albany,3.4
216,Albany,3.4
216,Albany,3.4
216,Albany,3.5
216,Albany,3.9
216,Albany,3.7
216,Albany,3.5
216,Albany,3.6
216,Albany,3.8
216,Albany,3.9
216,Albany,3.5
216,Albany,3.5
216,Albany,3.6
216,Albany,3.5
216,Albany,3.8
216,Albany,3.7
216,Albany,3.4
14,Armidale,3.5
216,Athens,4.5
216,Athens,4.5
216,Athens,4.6
216,Athens,3.9
216,Athens,3.7
216,Athens,4.3
216,Athens,4.2
216,Athens,4
216,Athens,4.1
216,Athens,4.3
216,Athens,4.2
216,Athens,4.1
216,Athens,4.1
216,Athens,4.2
216,Athens,4.1
216,Athens,4.1
216,Athens,4.4
216,Athens,4.4
216,Athens,4.2
216,Athens,4.1
216,Augusta,4.6
216,Augusta,4.9
216,Augusta,4.5
216,Augusta,3.9
216,Augusta,3.9
216,Augusta,3.8
216,Augusta,3.5
216,Augusta,4.3
216,Augusta,4.1
216,Augusta,4.4
216,Augusta,4
216,Augusta,4
216,Augusta,4.2
216,Augusta,4
216,Augusta,4
216,Augusta,3.9
216,Augusta,4.1
216,Augusta,4
216,Augusta,4.3
216,Augusta,4.2
14,Balingup,3.2
14,Beechworth,4.6
216,Boise,4.5
216,Boise,4.6
216,Boise,4.5
216,Boise,3.9
216,Boise,4.3
216,Boise,4.1
216,Boise,4.2
216,Boise,4.3
216,Boise,4.4
216,Boise,4.1
216,Boise,4.4
216,Boise,4.3
216,Boise,4.4
216,Boise,4.4
216,Boise,4
216,Boise,4.1
216,Boise,4.3
216,Boise,4
216,Boise,4
216,Boise,4.4
216,Iowa City,3.7
216,Iowa City,4.1
216,Iowa City,4.1
216,Iowa City,4.1
216,Iowa City,4.4
216,Iowa City,4.2
216,Iowa City,4.2
216,Iowa City,4.2
216,Iowa City,3.8
216,Iowa City,4.1
216,Iowa City,4.9
216,Iowa City,4.5
216,Iowa City,3.6
216,Iowa City,3.8
216,Iowa City,4.3
216,Iowa City,4.3
216,Iowa City,4.1
216,Iowa City,4
216,Iowa City,4.2
216,Iowa City,4.7
37,Kent,3.7
216,Clatskanie,4.3
216,Cochrane,3.1
216,Columbus,3.3
216,Columbus,4.6
216,Columbus,4.5
216,Columbus,3.8
216,Columbus,3.9
216,Columbus,3.9
216,Columbus,3.7
216,Columbus,3.6
216,Columbus,3.7
216,Columbus,4.2
216,Columbus,4.3
216,Columbus,4
216,Columbus,4
216,Columbus,4
216,Columbus,4.1
216,Columbus,4.1
216,Columbus,4.2
216,Columbus,4.3
216,Columbus,4
216,Columbus,4.4
37,Consort,3
216,Dalton,3.7
216,Dalton,4.4
216,Dalton,4.4
216,Dalton,3.9
216,Dalton,4.9
216,Dalton,3.8
216,Dalton,3.8
216,Dalton,3.8
216,Dalton,3.7
216,Dalton,4.1
216,Dalton,4.1
216,Dalton,4.1
216,Dalton,4.6
216,Dalton,4.3
216,Dalton,4.2
216,Dalton,3.7
216,Dalton,4.1
216,Dalton,4.3
216,Dalton,4.2
216,Dalton,4.1
216,Davenport,4.6
216,Davenport,4.5
216,Davenport,3.9
216,Davenport,4
216,Davenport,4.1
216,Davenport,3.4
216,Davenport,4.9
216,Davenport,3.9
216,Davenport,3.7
216,Davenport,1
216,Davenport,1
216,Davenport,4.3
216,Davenport,4
216,Davenport,4.1
216,Davenport,4.3
216,Davenport,4
216,Davenport,4.1
216,Davenport,4.1
216,Davenport,4.2
216,Davenport,4.2
216,Des Moines,4.5
216,Des Moines,4.9
216,Des Moines,4.5
216,Des Moines,4.1
216,Des Moines,4
216,Des Moines,3.2
216,Des Moines,4.5
216,Des Moines,4.6
216,Des Moines,4.4
216,Des Moines,4.2
216,Des Moines,4.3
216,Des Moines,4.8
216,Des Moines,4.2
216,Des Moines,4.1
216,Des Moines,4.1
216,Des Moines,4
216,Des Moines,4.3
216,Des Moines,3.8
216,Des Moines,4
216,Des Moines,4.2
14,Dicky Beach,3.6
216,Dubuque,3.4
216,Dubuque,3.3
216,Dubuque,3.4
216,Dubuque,3.3
216,Dubuque,3.4
216,Dubuque,3.5
216,Dubuque,3.6
216,Dubuque,3.5
216,Dubuque,3.6
216,Dubuque,3.7
216,Dubuque,3.6
216,Dubuque,3.8
216,Dubuque,3.5
216,Dubuque,3.5
216,Dubuque,3.6
216,Dubuque,3.6
216,Dubuque,3.6
216,Dubuque,3.5
216,Dubuque,3.7
216,Dubuque,3.6
14,East Ballina,4.1
216,Fernley,3.7
14,Flaxton,3.5
14,Forrest,3.7
216,Gainesville,4.4
216,Gainesville,4.1
216,Gainesville,3.8
216,Gainesville,3.9
216,Gainesville,3.9
216,Gainesville,4.4
216,Gainesville,4.1
216,Gainesville,3.8
216,Gainesville,4.3
216,Gainesville,4.1
216,Gainesville,4.9
216,Gainesville,4.6
216,Gainesville,3.8
216,Gainesville,4.2
216,Gainesville,4.3
216,Gainesville,4.2
216,Gainesville,3.8
216,Gainesville,3.9
216,Gainesville,2.2
216,Gainesville,4
14,Hepburn Springs,3.8
14,Hepburn Springs,3.8
14,Huskisson,4.1
14,Inverloch,3.7
14,Lakes Entrance,3.8
216,Lakeview,3.6
216,Lincoln,4.5
14,Lorn,3.6
14,Macedon,3.5
216,Macon,3.9
216,Macon,4.9
216,Macon,4.6
216,Macon,4.5
216,Macon,4.5
216,Macon,3.8
216,Macon,4.1
216,Macon,4
216,Macon,4.3
216,Macon,4.2
216,Macon,4.2
216,Macon,3.7
216,Macon,3.7
216,Macon,3.7
216,Macon,3.8
216,Macon,4.1
216,Macon,4
216,Macon,4.2
216,Macon,4
216,Macon,4.1
14,Mayfield,2.9
216,Mc Millan,2.4
14,Middleton Beach,3.8
216,Miller,3.4
216,Monroe,3.6
14,Montville,2.4
216,Ojo Caliente,3.6
216,Orlando,4.4
216,Orlando,4.5
216,Orlando,4.7
216,Orlando,4.3
216,Orlando,4.6
216,Orlando,4.6
216,Orlando,4.3
216,Orlando,4.4
216,Orlando,4.6
216,Orlando,4.4
216,Orlando,4.4
216,Orlando,4.8
216,Orlando,4.9
216,Orlando,4.9
216,Orlando,4.7
216,Orlando,3.6
216,Orlando,4.2
216,Orlando,4.4
216,Orlando,4.4
216,Orlando,4.4
14,Palm Cove,4.4
14,Paynesville,2.6
14,Penola,3.4
216,Pensacola,4.2
216,Pensacola,4.9
216,Pensacola,4.6
216,Pensacola,4.5
216,Pensacola,3.7
216,Pensacola,3.9
216,Pensacola,3.7
216,Pensacola,4.2
216,Pensacola,4.1
216,Pensacola,4.4
216,Pensacola,4.3
216,Pensacola,4
216,Pensacola,4.1
216,Pensacola,3.9
216,Pensacola,3.5
216,Pensacola,4.2
216,Pensacola,4.4
216,Pensacola,4.3
216,Pensacola,4.7
216,Pensacola,4.4
14,Phillip Island,3.7
216,Pocatello,3.7
216,Pocatello,3.5
216,Pocatello,3.6
216,Pocatello,3.6
216,Pocatello,3.7
216,Pocatello,3.6
216,Pocatello,3.5
216,Pocatello,3.8
216,Pocatello,3.8
216,Pocatello,3.7
216,Pocatello,3.5
216,Pocatello,3.7
216,Pocatello,3.6
216,Pocatello,3.6
216,Pocatello,3.6
216,Pocatello,3.8
216,Pocatello,3.7
216,Pocatello,3.6
216,Pocatello,1
216,Pocatello,4.1
216,Potrero,3.3
216,Princeton,4
216,Rest of Hawaii,4.5
216,Rest of Hawaii,4.7
216,Rest of Hawaii,4.7
216,Rest of Hawaii,4.5
216,Rest of Hawaii,4.5
216,Rest of Hawaii,4.2
216,Rest of Hawaii,4.2
216,Rest of Hawaii,4.6
216,Rest of Hawaii,4.2
216,Rest of Hawaii,4.4
216,Rest of Hawaii,4.3
216,Rest of Hawaii,4.3
216,Rest of Hawaii,4.9
216,Rest of Hawaii,4.9
216,Rest of Hawaii,4.6
216,Rest of Hawaii,3.9
216,Rest of Hawaii,4.4
216,Rest of Hawaii,4
216,Rest of Hawaii,4.2
216,Rest of Hawaii,4.2
216,Savannah,3.3
216,Savannah,4.7
216,Savannah,4.6
216,Savannah,4.5
216,Savannah,4.5
216,Savannah,3.7
216,Savannah,3.8
216,Savannah,4.1
216,Savannah,4.4
216,Savannah,4.2
216,Savannah,4.1
216,Savannah,4.1
216,Savannah,4.3
216,Savannah,4.3
216,Savannah,4
216,Savannah,4.3
216,Savannah,4.4
216,Savannah,4.1
216,Savannah,3.8
216,Savannah,3.9
184,Singapore,3.4
184,Singapore,4
184,Singapore,3.8
184,Singapore,3.1
184,Singapore,3.8
184,Singapore,3.9
184,Singapore,4.2
184,Singapore,4.1
184,Singapore,3.2
184,Singapore,3.2
184,Singapore,3.7
184,Singapore,3
184,Singapore,3.8
184,Singapore,3.9
184,Singapore,3.1
184,Singapore,3.2
184,Singapore,3.2
184,Singapore,3.8
184,Singapore,3.9
184,Singapore,3.2
216,Sioux City,3.7
216,Sioux City,3.6
216,Sioux City,3.8
216,Sioux City,3.6
216,Sioux City,3.7
216,Sioux City,3.6
216,Sioux City,3.8
216,Sioux City,3.8
216,Sioux City,3.7
216,Sioux City,3.9
216,Sioux City,3.7
216,Sioux City,3.8
216,Sioux City,3.7
216,Sioux City,3.7
216,Sioux City,3.8
216,Sioux City,3.9
216,Sioux City,4
216,Sioux City,4
216,Sioux City,4
216,Sioux City,3.5
216,Tampa Bay,4.6
216,Tampa Bay,4.6
216,Tampa Bay,4.1
216,Tampa Bay,4.1
216,Tampa Bay,4.1
216,Tampa Bay,4.7
216,Tampa Bay,3.9
216,Tampa Bay,3.9
216,Tampa Bay,4.4
216,Tampa Bay,4.4
216,Tampa Bay,4.2
216,Tampa Bay,4.9
216,Tampa Bay,4.5
216,Tampa Bay,4.9
216,Tampa Bay,4.5
216,Tampa Bay,4.7
216,Tampa Bay,4.8
216,Tampa Bay,4.5
216,Tampa Bay,4
216,Tampa Bay,4.4
14,Tanunda,4.4
14,Trentham East,4.1
216,Valdosta,3.4
216,Valdosta,3.1
216,Valdosta,3.9
216,Valdosta,3.7
216,Valdosta,3.8
216,Valdosta,3.7
216,Valdosta,3.8
216,Valdosta,3.7
216,Valdosta,3.7
216,Valdosta,3.7
216,Valdosta,3.9
216,Valdosta,3.8
216,Valdosta,3.5
216,Valdosta,3.9
216,Valdosta,3.7
216,Valdosta,3.5
216,Valdosta,3.8
216,Valdosta,3.8
216,Valdosta,3.8
216,Valdosta,4.1
216,Vernonia,4.3
14,Victor Harbor,3.6
37,Vineland Station,4.3
216,Waterloo,3.2
216,Waterloo,3.7
216,Waterloo,3.9
216,Waterloo,3.8
216,Waterloo,3.7
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.8
216,Waterloo,3.7
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.6
216,Waterloo,3.7
216,Waterloo,3.6
216,Waterloo,3.7
216,Waterloo,3.5
216,Waterloo,3.9
216,Weirton,3.9
216,Winchester Bay,3.2
37,Yorkton,3.3
214,Abu Dhabi,4.6
214,Abu Dhabi,4.6
214,Abu Dhabi,4.4
214,Abu Dhabi,4.3
214,Abu Dhabi,4.2
214,Abu Dhabi,4.6
214,Abu Dhabi,4.1
214,Abu Dhabi,4.4
214,Abu Dhabi,4
214,Abu Dhabi,3.6
214,Abu Dhabi,4.5
214,Abu Dhabi,4
214,Abu Dhabi,4
214,Abu Dhabi,4
214,Abu Dhabi,4.3
214,Abu Dhabi,4
214,Abu Dhabi,4.9
214,Abu Dhabi,4.7
214,Abu Dhabi,4.2
214,Abu Dhabi,4.6
214,Dubai,3.9
214,Dubai,4.1
214,Dubai,4.3
214,Dubai,4.5
214,Dubai,4.5
214,Dubai,4.9
214,Dubai,4.9
214,Dubai,4.8
214,Dubai,4.5
214,Dubai,4.5
214,Dubai,4.3
214,Dubai,4.3
214,Dubai,4.4
214,Dubai,4.9
214,Dubai,4.4
214,Dubai,3.2
214,Dubai,4.7
214,Dubai,4.3
214,Dubai,3.7
214,Dubai,4.3
214,Sharjah,3.9
214,Sharjah,3.8
214,Sharjah,4.1
214,Sharjah,4.3
214,Sharjah,3.9
214,Sharjah,4.1
214,Sharjah,4.1
214,Sharjah,4.2
214,Sharjah,4.1
214,Sharjah,2.4
214,Sharjah,4.2
214,Sharjah,4.2
214,Sharjah,4.2
214,Sharjah,3.8
214,Sharjah,3.9
214,Sharjah,4.8
214,Sharjah,4.1
214,Sharjah,4.5
214,Sharjah,3.8
214,Sharjah,4.2
1,Agra,3.9
1,Agra,3.5
1,Agra,3.6
1,Agra,4
1,Agra,4.2
1,Agra,4
1,Agra,4.3
1,Agra,4
1,Agra,3.6
1,Agra,3.8
1,Agra,3.9
1,Agra,4.1
1,Agra,3.4
1,Agra,4.9
1,Agra,3.8
1,Agra,3.9
1,Agra,3.7
1,Agra,4.4
1,Agra,4.2
1,Agra,4.1
1,Ahmedabad,4.2
1,Ahmedabad,3.7
1,Ahmedabad,4.5
1,Ahmedabad,4.1
1,Ahmedabad,4.3
1,Ahmedabad,4.4
1,Ahmedabad,4.4
1,Ahmedabad,3.8
1,Ahmedabad,3.6
1,Ahmedabad,4.6
1,Ahmedabad,4.4
1,Ahmedabad,4.3
1,Ahmedabad,3.8
1,Ahmedabad,4.3
1,Ahmedabad,4
1,Ahmedabad,4.4
1,Ahmedabad,4.5
1,Ahmedabad,4.1
1,Ahmedabad,4.1
1,Ahmedabad,3.9
1,Ahmedabad,4
1,Allahabad,3.4
1,Allahabad,3.3
1,Allahabad,3.2
1,Allahabad,3.4
1,Allahabad,3.4
1,Allahabad,3.4
1,Allahabad,3.4
1,Allahabad,3.3
1,Allahabad,3.2
1,Allahabad,3.4
1,Allahabad,3.4
1,Allahabad,3.2
1,Allahabad,3.3
1,Allahabad,3.4
1,Allahabad,3.6
1,Allahabad,3.7
1,Allahabad,3.5
1,Allahabad,3.6
1,Allahabad,3.5
1,Allahabad,3.3
1,Amritsar,3.4
1,Amritsar,3.9
1,Amritsar,4
1,Amritsar,3.4
1,Amritsar,3.6
